entity,code,month,_2025,_2024,_2023,_2022,_2021,_2020,_2019,_2018,_2017,_2016,_2015,_2014,_2013,_2012,_2011,_2010,_2009,_2008,_2007,_2006,_2005,_2004,_2003,_2002,_2001,_2000,_1999,_1998,_1997,_1996,_1995,_1994,_1993,_1992,_1991,_1990,_1989,_1988,_1987,_1986,_1985,_1984,_1983,_1982,_1981,_1980,_1979
Afghanistan,AFG,11,-0.0502882,3.0446815,2.8508673,0.8340187,-0.43823814,-1.3589106,-1.8335004,0.23090887,1.139965,-0.46471548,-1.0195508,-1.1253028,-0.53930855,-0.12255621,0.4858365,0.3915105,-0.3187375,-0.31731462,2.5039358,0.3602023,-0.7929497,2.4016638,-1.6322393,0.8026738,1.3860569,-1.726696,-0.5403342,1.7037134,-1.4073586,-2.798894,0.76510906,3.0665264,0.35913658,0.95290565,-0.55176497,1.0470672,-0.29228973,1.8531122,0.8996911,-0.4613247,-0.044075012,0.9001508,1.1139431,-2.9293578,0.054231644,1.0127177,-2.0575948
Afghanistan,AFG,12,2.6757648,-0.9731999,3.105437,0.2301991,1.9447124,-2.0448747,0.99059486,1.3902056,0.42295396,3.3385985,-0.5900892,0.086660385,-1.2117879,-1.6392095,-2.1457632,0.23251343,-0.6314837,0.2278409,-1.7043953,-2.3185697,0.83327675,0.3486265,-0.5319451,-0.87193584,2.377665,0.52096844,0.802639,4.539094,-1.2834713,-0.08118814,-2.5878167,-1.2355869,0.85323226,0.8772652,1.0359817,-1.0409335,0.8331677,2.1132133,2.5536265,-2.0488925,-0.8523274,-3.4660695,-1.3334187,-3.2428105,0.85476196,1.1780674,0.01855576
Africa (NIAID),,1,0.98114586,1.1762486,0.4344597,-0.0137348175,0.98433304,0.026842117,0.41004944,0.080150604,0.19976044,0.76646614,-0.3119068,0.7451782,0.5256996,-0.3680992,0.055339813,1.1268044,0.39367294,-0.6423149,-0.06056404,0.30257416,-0.26228905,0.35006523,0.41366386,-0.6911526,-0.3781376,-0.38375854,-0.15164185,-0.081855774,0.22418404,0.54255486,-0.57637787,-0.19611359,-1.0866604,-0.73752785,-0.23456192,-0.08043671,-1.6141891,0.10297966,-0.14274406,-0.66183853,0.29867935,-0.95898247,-1.3512459,-0.14541626,-1.2087917,0.08470726,0.18404007
Africa (NIAID),,2,0.6434803,1.1964455,0.22910309,-0.050203323,0.24629593,0.50763893,0.10450554,0.732399,0.17288208,0.88760376,0.5173702,0.029302597,0.3744831,-0.397892,0.0069789886,1.8073845,0.21455574,-0.64188385,0.48503113,0.36454773,0.9216423,-0.021375656,0.18048286,-0.07601547,-0.83080673,-1.1558971,-0.21831322,0.5893707,-1.0583153,-0.080545425,-0.4780693,-0.79888344,-1.1865616,-0.7553005,-0.19635391,-0.67017746,-1.6222725,0.102903366,0.18982506,-0.13894463,-0.75195694,-0.74184036,-0.06738281,-0.9629688,-0.89440346,-0.34737587,-0.25842285
Africa (NIAID),,3,1.085825,1.7581329,0.6536503,-0.07772255,0.095890045,0.5585346,0.50681686,0.5727539,0.390419,0.9450779,0.11281586,-0.06451225,0.9741707,-0.4688816,0.19025612,0.80391884,-0.06869316,0.08624649,0.051481247,-0.078042984,0.50097084,-0.14320755,-0.24961472,0.024345398,0.20755005,-0.7172737,-0.30062103,-0.38947487,-0.92601204,-0.38324738,-0.3357582,-0.26940536,-0.7005844,-0.5126724,-0.31731987,-0.7139225,-1.0360641,-0.11194801,-0.12071228,-0.79558563,-0.3815651,-0.34610176,-0.48620033,-0.7727108,-0.4714222,-0.42453384,-0.5410385
Africa (NIAID),,4,0.56276894,1.2767658,0.39913368,0.5448494,0.5560055,0.63036346,0.44362068,0.08911705,0.40449524,1.195034,-0.248415,0.14090538,0.030534744,-0.013563156,-0.023324966,1.0794888,-0.046850204,-0.4055729,0.24925995,-0.0429039,0.33953285,-0.296381,0.112854004,-0.13360596,-0.19702339,-0.049095154,-0.12689018,1.0050831,-1.2839031,-0.7230091,-0.5509243,-0.2636528,-0.35396957,-0.53011894,-0.43109512,-0.1118412,-0.7298641,0.07208061,-0.2879486,-0.3500824,-1.3413486,-0.38745117,-0.023649216,-0.8527641,-0.4289627,-0.2728939,-0.7337551
Africa (NIAID),,5,0.4621849,1.595398,0.53982353,0.3216648,0.5745125,0.5492687,0.7674084,0.2466507,0.70214844,0.4276638,0.55975723,0.13723755,0.29207802,0.14491653,-0.05390358,0.45071793,-0.23740387,-0.15880013,0.07222366,-0.4226532,0.12885284,-0.25312614,0.12100792,0.039762497,-0.19407082,-0.29453087,-0.06375313,0.32180405,-0.77272415,-0.17069244,-0.16724968,-0.30316162,-0.3734169,-0.6958122,-0.80021477,-0.4315815,-0.6712837,-0.10297394,0.22727966,-0.56064606,-0.9995346,-0.4494648,0.10827446,-1.175497,-0.88876915,-0.6437607,-0.91427803
Africa (NIAID),,6,0.49025726,1.3806114,0.57715607,0.28699684,0.67560387,0.5852108,0.44483376,0.30903625,0.6639271,0.5622711,0.23838806,0.2951603,0.115550995,0.17865753,0.07712555,0.30275536,0.4383602,-0.14901733,-0.16449928,-0.04557419,0.040950775,-0.36846924,-0.16859436,-0.30311775,-0.36849785,-0.37394714,0.058351517,0.18383408,-0.0173378,-0.8101311,0.050058365,-0.6648464,-0.30282402,-0.50811386,-0.29951286,0.03881836,-0.4155674,-0.15816116,-0.5642185,-0.8055649,-0.6834698,-0.88568306,-0.2601757,-0.5433216,-0.58403206,-0.6227989,-0.914402
Africa (NIAID),,7,0.4633808,1.065918,1.1365547,0.29146385,0.36515236,0.17038536,0.7082157,0.4618492,0.5377598,0.17918205,0.7000141,0.4595394,0.069849014,0.008256912,0.1537571,0.24817467,0.19061661,-0.05126953,-0.18323326,0.17463112,0.09111786,-0.31394577,-0.11607361,0.5717964,-0.3199482,-0.38772583,-0.29998398,0.11128998,-0.13487625,-0.7263012,-0.19648361,-0.6852207,-0.22191238,-0.76711464,-0.4323597,-0.41747665,-0.538929,-0.28583717,0.2630844,-0.8204098,-1.089077,-0.8485031,-0.07475662,-0.627203,-0.8747387,-0.797245,-0.8395157
Africa (NIAID),,8,0.20589256,0.5368252,1.1285439,0.2127533,0.62059975,0.21729279,0.49000168,0.23662949,0.41752052,0.3840351,0.8348789,0.30018997,-0.19739914,0.085653305,-0.10333252,0.23911095,0.19278908,0.057247162,-0.18752861,0.060094833,0.26940155,0.1167469,-0.30709648,0.2265091,-0.02699089,-0.47691154,-0.3903618,0.047052383,0.07559967,-0.32538414,0.16595459,-0.5229168,-0.3898239,-0.8905144,-0.5984421,-0.3901348,-0.41963196,-0.49460602,0.05639839,-0.31695938,-0.7510166,-0.5063553,-0.5526886,-0.6711445,-0.85256386,-0.6096592,-0.4500122
Africa (NIAID),,9,0.5014496,0.5890846,1.0358372,0.3694992,0.56339264,0.41357613,0.49809074,0.32740593,0.44535637,0.42064476,0.694685,0.26229477,0.10982323,-0.17668915,0.069288254,0.20223808,0.29270554,0.17326355,-0.0920887,-0.29261017,0.13175201,-0.40294647,-0.1535263,0.1864357,-0.058071136,-0.37622452,-0.37558746,-0.023025513,0.066467285,-0.3190937,0.0023002625,-0.5422325,-0.37065125,-0.7928734,-0.32069206,-0.33729935,-0.29691315,-0.7078819,-0.21006775,-0.7533531,-1.0723991,-0.6023693,-0.42583466,-0.6612625,-1.0503197,-0.78167725,-0.7859783
Africa (NIAID),,10,0.62301826,0.68810654,1.2386208,0.43199158,0.4529209,0.6050911,0.41035843,0.49048233,0.026508331,0.8935375,0.99528694,0.041502,-0.002603531,0.3511238,-0.30028725,0.63656044,0.27992058,-0.077236176,-0.13263893,0.22312737,0.153965,0.15443611,0.51270103,-0.34589386,-0.07038307,-0.8095741,-0.5270901,-0.17834473,-0.16435051,-0.6646042,-0.44532013,-0.6051407,-0.017847061,-0.57718086,-0.85611725,-0.025957108,-0.8410454,-0.8935795,-0.51412964,-1.0653954,-1.0403862,-0.79862595,-1.0318775,-1.051197,-0.5667534,-0.6057949,-0.50211525
