region,Country,Glacier,RGI_Glacier_Area,Longitude,Latitude,Date,Date_Min,Date_Max,year
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2010-06-06 00:00:00,2010-08-16 00:00:00,2010
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2011-06-01 00:00:00,2011-08-03 00:00:00,2011
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2012-06-03 00:00:00,2012-07-12 00:00:00,2012
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2013-06-10 00:00:00,2013-06-21 00:00:00,2013
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2014-06-06 00:00:00,2014-07-01 00:00:00,2014
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2015-03-30 00:00:00,2015-04-25 00:00:00,2015
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2016-05-21 00:00:00,2016-07-11 00:00:00,2016
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2017-04-25 00:00:00,2017-06-18 00:00:00,2017
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2018-05-23 00:00:00,2018-06-03 00:00:00,2018
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2018-07-06 00:00:00,2018-07-13 00:00:00,2018
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2019-05-27 00:00:00,2019-06-21 00:00:00,2019
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2020-05-29 00:00:00,2020-06-22 00:00:00,2020
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2021-01-27 00:00:00,2021-02-02 00:00:00,2021
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,2023-09-19 00:00:00,2023-10-23 00:00:00,2023
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,1987-07-25 00:00:00,1987-08-10 00:00:00,1987
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,1989-06-28 00:00:00,1989-08-22 00:00:00,1989
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,1990-09-26 00:00:00,1991-06-25 00:00:00,1990
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,1992-06-27 00:00:00,1992-08-30 00:00:00,1992
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,1994-07-12 00:00:00,1994-08-13 00:00:00,1994
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,1996-05-30 00:00:00,1996-07-17 00:00:00,1996
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,1997-09-13 00:00:00,1998-05-27 00:00:00,1997
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,1998-09-16 00:00:00,1998-10-11 00:00:00,1998
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,1999-07-02 00:00:00,1999-08-02 00:00:00,1999
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2000-08-28 00:00:00,2001-08-15 00:00:00,2000
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2002-06-15 00:00:00,2002-08-02 00:00:00,2002
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2004-06-21 00:00:00,2004-07-14 00:00:00,2004
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2005-06-16 00:00:00,2005-08-10 00:00:00,2005
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2006-07-04 00:00:00,2006-07-29 00:00:00,2006
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2009-06-09 00:00:00,2009-07-02 00:00:00,2009
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2010-07-18 00:00:00,2010-07-27 00:00:00,2010
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2011-05-31 00:00:00,2011-07-10 00:00:00,2011
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2012-06-03 00:00:00,2012-07-12 00:00:00,2012
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2013-06-10 00:00:00,2013-07-30 00:00:00,2013
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2014-06-01 00:00:00,2014-06-09 00:00:00,2014
